0,UHU,0,SUPPLY POINT DIMMER MODULE
1,SUPPLY POINT DIMMER MODULE,1,SUPPLY POINT PASS MODULE
2,SUPPLY POINT PASS MODULE,2,SUPPLY POINT HAZARD/NAVIGATION/BLINKER/CUSTOM
3,SUPPLY POINT HAZARD MODULE,3,SUPPLY POINT CRUISE MODULE
4,SUPPLY POINT NAVIGATION MODULE,4,SPARE SUPPLY
5,SUPPLY POINT HORN MODULE,5,SUPPLY POINT HORN MODULE
6,LOW CONTACT INPUT,6,SPARE SUPPLY
7,HIGH/PASS CONTACT INPUT,7,SPARE SUPPLY
10,PASS CONTACT INPUT,10,MVD DIMMER LOW
11,HAZARD CONTACT INPUT,11,MVD DIMMER HIGH
12,NAVIGATIN UP CONTACT INPUT,12,MVD DIMMER PASS
13,NAVIGATIN DOWN CONTACT INPUT,13,MVD DIMMER HAZARD
14,NAVIGATIN ENTER CONTACT INPUT,14,MVD DIMMER NAVIGATION UP
15,NAVIGATIN BACK CONTACT INPUT,15,MVD DIMMER NAVIGATION DOWN
16,BLINKER OFF CONTACT INPUT,16,MVD DIMMER NAVIGATION ENTER
17,BLINKER LEFT CONTACT INPUT,17,MVD DIMMER NAVIGATION BACK
20,BLINKER RIGHT CONTACT INPUT,20,MVD OFF BLINKER
21,HORN CONTACT INPUT,21,MVD LEFT  BLINKER
22,CRUISE CONTACT INPUT,22,MVD RIGHT BLINKER
23,CUSTOM CONTACT INPUT,23,ILLUMINATION CHECK RELAY
24,SET/RESET CONTACT INPUT,24,SPARE OUTPUT
25,SPARE INPUT,25,SPARE OUTPUT
26,SPARE INPUT,26,MVD CRUISE MODULE
27,BODY SHORT,27,MVD CUSTOM MODULE
30,SPARE INPUT,30,MVD SET/RESET
31,SPARE INPUT,31,SPARE OUTPUT
32,SPARE INPUT,32,SPARE OUTPUT
33,SPARE INPUT,33,SPARE OUTPUT
34,SPARE INPUT,34,MVD HORN MODULE
35,START PUSH BUTTON,35,SPARE OUTPUT
36,RESET PUSH BUTTON,36,SPARE OUTPUT
37,EMERGENCY PUSH BUTTON,37,SPARE OUTPUT
